ID,I_STATE,RR,AA,FFF,NNNNNNNNNN,DD,MM,YYYY,UPSZN_DATE,DATE_UPSZN,TR_DATE,RECEIPT_CREATE_FLAG,C_REQUESTFILE,C_RESPONSEFILE,I_MODE,STATE,STATEDESCRIPTION,MSGID,STATUS,STATUSDESCRIPTION,SUM_TOTAL,SUM_GRANTED,SUM_DENIED,COUNT_TOTAL,COUNT_GRANTED,COUNT_DENIED,REPORT_DATE,COPY_DATE,SERVICE, 
811,70,07,12,000,0003,01,01,2019,29.01.2019,30.01.2019,30.01.2019,1,RO07120000003012019,RU07120000003012019,finish,1,,4036e75e-f1fd-4379-a16d-3970820887ee,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,,,recipient, 
819,41,12,30,002,0002,01,01,2019,29.01.2019,29.01.2019,,1,RO12300020002012019,RO12300020002012019,push,-1,,,ECCFailed,IOC-001:Помилка XSD-схеми,0,0,0,,,,,,recipient, 
827,70,16,16,000,0002,01,01,2019,29.01.2019,30.01.2019,30.01.2019,1,RO16160000002012019,RU16160000002012019,finish,1,,0d94f0fb-b79e-418d-9744-5edff8e19f70,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,,,recipient, 
835,70,59,13,000,0001,01,01,2019,29.01.2019,30.01.2019,30.01.2019,1,RO59130000001012019,RU59130000001012019,finish,1,,170597b6-d1f0-45b0-ba5c-ce0f96d33bb8,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,,,recipient, 
841,70,05,07,000,0004,01,01,2019,30.01.2019,30.01.2019,30.01.2019,1,RD05070000004012019,RT05070000004012019,finish,1,,6eec172e-1959-46fd-9621-8e02b2d0c5c8,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,,,recipient, 
850,41,13,15,000,0002,01,01,2019,30.01.2019,30.01.2019,21.02.2019,1,RO13150000002012019,RU13150000002012019,finish,-1,IOC-013:Помилка - regId реєстру співпадає з отриманим раніше,ef05aada-c26d-4c22-8136-629f33f69087,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,,,recipient, 
858,70,35,15,000,0004,01,01,2019,30.01.2019,30.01.2019,30.01.2019,1,RO35150000004012019,RU35150000004012019,finish,1,,5460048a-1737-4bd5-a451-e88aa31fbc54,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,,,recipient, 
870,51,26,05,000,0001,01,01,2019,30.01.2019,30.01.2019,30.01.2019,1,RO26050000001012019,RO26050000001012019,check,-2,,8cdab8db-180c-4424-a98a-70e35fb8ddd5,ESBFailed,ESB126303: Помилка підпису Stamp. Цифровий підпис недійсний.: Сервер OCSP повернув код помилки 2,0,0,0,,,,,,recipient, 
877,70,61,16,000,0004,01,01,2019,30.01.2019,30.01.2019,30.01.2019,1,RO61160000004012019,RU61160000004012019,finish,1,,f90ca2d0-4c7d-4c35-a209-6c8e626d0bd2,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,,,recipient, 
883,70,13,12,000,0006,01,01,2019,30.01.2019,30.01.2019,30.01.2019,1,RO13120000006012019,RU13120000006012019,finish,1,,4a9a3658-e937-4b08-9103-96a012b666f2,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,01.01.2019,,recipient, 
891,70,51,11,000,0001,01,01,2019,30.01.2019,01.02.2019,01.02.2019,1,RO51110000001012019,RU51110000001012019,finish,1,,57dfdd03-38c3-4aba-b2f0-38312358b55f,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,01.01.2019,,recipient, 
902,70,56,11,000,0001,01,01,2019,30.01.2019,30.01.2019,30.01.2019,1,RO56110000001012019,RU56110000001012019,finish,1,,9fdfa020-9493-41bd-8649-d91e94bb5727,ESBSuccess,IOC-000:Помилки відсутні,0,0,0,,,,01.01.2019,,recipient, 
